,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Z,T,A,V,O,J,Z,G,W,L,M,A,W,B,Y,I,M,D,K,Y
2,P,G,P,N,C,Q,E,R,I,Q,I,T,O,K,H,F,T,O,Z,Z
3,D,T,S,E,L,F,N,O,L,H,Z,K,L,N,F,D,J,C,G,A
4,A,E,U,J,U,I,N,Z,D,T,D,U,W,J,O,N,C,S,L,H
5,Z,W,E,F,G,Z,B,R,I,O,T,U,N,B,O,G,N,U,Z,Y
6,U,Y,C,O,C,P,Z,G,W,C,O,D,J,X,J,L,F,V,J,H
7,D,B,K,Q,I,J,M,Q,X,P,U,P,Z,G,C,G,S,M,I,P
8,F,E,N,Q,R,Z,T,B,U,J,T,M,E,B,U,T,N,F,E,Y
9,R,E, ,Y,D,G,B,A,C,F,B, ,A,B,W,X,U,J,A,Z
10,M,D,O,W,W,X,S,C,O,E,J,W,N,L,U,F,E,X,H,X
11,E,F,O,F,W,P,V,R,U,I,G,R,E,Z,W,O,U,G, ,E
12,W,I,M,V,D,Q,V,S,I,Y,Y,B,R,Z,O,Y,S,U,W,Y
13,D,",",A,G,U,F,L,Z,L,N,X,O,E,Q,J,X,E,G,H,E
14,O,N,E,M,V,J,Z,N,C,Q,P,Z,K,W,F,M,V,K,Y,M
15,M,B, ,H,R,M,L,S,T,I,A,O,O,O,O,",",E,H,M,E
16,I,U,O,Q,B,J,Z,N,Q,N,Q,H,U,D,Y,J,A,B,I,P
17,X,K,K,I,S,H,Z,H,D,L,Z,O,J,N,P,C,W,O,O,R
18,L,Y,Y,M, ,B,N,T,K,X,C, ,S,B,K,H,R,W,M,D
19,V,N,U,L,L,Z,M,I,O,G,S,M,P,U,E,P,E,O,A,C
20,R,E,T,L,F,S,D,T,Q, ,U,P,Y,K,A,F,P,G,W,O
